channel_name,status,timestamp
57ETFN,completed,2024-11-28 23:13:23
1001taiwanstories,completed,2024-11-28 23:13:41
3cdogs,completed,2024-11-28 23:13:47
57watcher,completed,2024-11-28 23:13:50
77boss,completed,2024-11-28 23:13:57
Awater,completed,2024-11-28 23:14:01
Bebelolz71,completed,2024-11-28 23:14:06
DOW2233,completed,2024-11-28 23:14:10
DaChien,completed,2024-11-28 23:14:15
DennisTCTang,completed,2024-11-28 23:14:33
AshanKouki,completed,2024-11-28 23:14:42
DrinkingLibrary,completed,2024-11-28 23:14:43
6tanchannel,completed,2024-11-28 23:15:00
AmazingTalker,completed,2024-11-28 23:15:05
CTSFeatured,completed,2024-11-28 23:15:10
ChefgodFred,completed,2024-11-28 23:15:19
ChiChi77,completed,2024-11-28 23:15:56
ChongxinRdSec1,completed,2024-11-28 23:16:05
CTSSHOW,completed,2024-11-28 23:16:19
ClassOne1,completed,2024-11-28 23:16:26
Crimescene_ET,completed,2024-11-28 23:17:04
CtiNews,completed,2024-11-28 23:23:59
DrTNHuang,completed,2024-11-28 23:24:07
Fantasy_library,completed,2024-11-28 23:24:15
FunnyOnAir,completed,2024-11-28 23:24:20
GTV100ENTERTAINMENT,completed,2024-11-28 23:25:22
HUANG88,completed,2024-11-28 23:25:27
Hahatai,completed,2024-11-28 23:25:31
JiaJiaStory,completed,2024-11-28 23:25:36
JunyiAcademy,completed,2024-11-28 23:25:40
KimyYTB,completed,2024-11-28 23:25:45
MandyHsin,completed,2024-11-28 23:25:50
OurShame,completed,2024-11-28 23:25:54
CtsTw,completed,2024-11-28 23:28:16
DcardTaiwan,completed,2024-11-28 23:28:24
EYECTV,completed,2024-11-28 23:28:41
FTV_News,completed,2024-11-28 23:30:12
FroggyChiu,completed,2024-11-28 23:30:30
Gooaye,completed,2024-11-28 23:30:58
HowHowEat,completed,2024-11-28 23:31:06
HungyiLeeNTU,completed,2024-11-28 23:31:23
JRLeeRadio,completed,2024-11-28 23:31:32
KC-Huang,completed,2024-11-28 23:31:41
NANACIAOCIAO,completed,2024-11-28 23:31:55
NAUGHTYUNCLES,completed,2024-11-28 23:32:02
NyoNyoTV,completed,2024-11-28 23:32:15
Pinkfong,completed,2024-11-28 23:32:20
PNNPTS,completed,2024-11-28 23:33:34
Psyman,completed,2024-11-28 23:33:42
Realpotterking,completed,2024-11-28 23:33:50
Sartiz,completed,2024-11-28 23:33:56
TITVNews16,completed,2024-11-28 23:34:22
TheDoDoMenPodcast,completed,2024-11-28 23:34:29
TheExecutiveYuanOpenMicSession,completed,2024-11-28 23:34:43
TTV_NEWS,completed,2024-11-28 23:34:46
TsaiAGaLife,completed,2024-11-28 23:34:54
VivianMiuLab,completed,2024-11-28 23:35:05
TheStormMedia,completed,2024-11-28 23:35:11
WithYU99,completed,2024-11-28 23:35:11
YukisakanaAnime211,completed,2024-11-28 23:35:15
achusan0817,completed,2024-11-28 23:35:19
amogood,completed,2024-11-28 23:35:25
amogoodlife,completed,2024-11-28 23:35:33
apple-dad,completed,2024-11-28 23:35:47
bailingguo,completed,2024-11-28 23:35:57
betty_wu,completed,2024-11-28 23:36:32
bluepigeon0810,completed,2024-11-28 23:36:41
brianptseng,completed,2024-11-28 23:36:46
coolestwork,completed,2024-11-28 23:36:51
bahagamecrazy,completed,2024-11-28 23:36:58
bensanjpn,completed,2024-11-28 23:37:03
chinatvnews,completed,2024-11-28 23:37:08
chuchushoeTW,completed,2024-11-28 23:37:18
crowndu,completed,2024-11-28 23:37:25
cwvideo,completed,2024-11-28 23:37:57
defense,completed,2024-11-28 23:38:15
